X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
67.709953,33.93911,1,Afghanistan,2021/10/21 12:21:18+00,33.93911,67.709953,155891,7249,0,0,400.4563154,,,4.650043941,4,AFG
20.1683,41.1533,2,Albania,2021/10/21 12:21:18+00,41.1533,20.1683,179463,2849,0,0,6236.117868,,,1.587513861,8,ALB
1.6596,28.0339,3,Algeria,2021/10/21 12:21:18+00,28.0339,1.6596,205529,5878,0,0,468.6980878,,,2.859937041,12,DZA
1.5218,42.5063,4,Andorra,2021/10/21 12:21:18+00,42.5063,1.5218,15382,130,0,0,19908.10846,,,0.845143674,20,AND
17.8739,-11.2027,5,Angola,2021/10/21 12:21:18+00,-11.2027,17.8739,63340,1682,0,0,192.7203904,,,2.655509946,24,AGO
-61.7964,17.0608,6,Antigua and Barbuda,2021/10/21 12:21:18+00,17.0608,-61.7964,3984,97,0,0,4068.295074,,,2.434738956,28,ATG
-63.6167,-38.4161,7,Argentina,2021/10/21 12:21:18+00,-38.4161,-63.6167,5275984,115770,0,0,11673.62163,,,2.194282621,32,ARG
45.0382,40.0691,8,Armenia,2021/10/21 12:21:18+00,40.0691,45.0382,288906,5902,0,0,9749.685648,,,2.042878999,51,ARM
133,-25,9,Australia,2021/10/21 12:21:18+00,-25,133,151943,1590,0,0,596.798077,,,1.046445048,36,AUS
14.5501,47.5162,10,Austria,2021/10/21 12:21:18+00,47.5162,14.5501,787644,11220,0,0,8745.381062,,,1.424501425,40,AUT
47.5769,40.1431,11,Azerbaijan,2021/10/21 12:21:18+00,40.1431,47.5769,507857,6809,0,0,5008.859202,,,1.340731741,31,AZE
-78.035889,25.025885,12,Bahamas,2021/10/21 12:21:18+00,25.025885,-78.035889,22092,626,0,0,5617.828953,,,2.833604925,44,BHS
50.55,26.0275,13,Bahrain,2021/10/21 12:21:18+00,26.0275,50.55,276336,1392,0,0,16239.93658,,,0.503734584,48,BHR
90.3563,23.685,14,Bangladesh,2021/10/21 12:21:18+00,23.685,90.3563,1566664,27791,0,0,951.2841517,,,1.773896636,50,BGD
-59.5432,13.1939,15,Barbados,2021/10/21 12:21:18+00,13.1939,-59.5432,13934,123,0,0,4848.784324,,,0.882732884,52,BRB
27.9534,53.7098,16,Belarus,2021/10/21 12:21:18+00,53.7098,27.9534,577932,4449,0,0,6116.121994,,,0.76981375,112,BLR
4.469936,50.8333,17,Belgium,2021/10/21 12:21:18+00,50.8333,4.469936,1299439,25816,0,0,11212.0971,,,1.986703493,56,BEL
-88.4976,17.1899,18,Belize,2021/10/21 12:21:18+00,17.1899,-88.4976,24948,471,0,0,6274.316497,,,1.887926888,84,BLZ
2.3158,9.3077,19,Benin,2021/10/21 12:21:18+00,9.3077,2.3158,24560,161,0,0,202.5868092,,,0.655537459,204,BEN
90.4336,27.5142,20,Bhutan,2021/10/21 12:21:18+00,27.5142,90.4336,2617,3,0,0,339.160096,,,0.114635078,64,BTN
-63.5887,-16.2902,21,Bolivia,2021/10/21 12:21:18+00,-16.2902,-63.5887,508166,18887,0,0,4353.334512,,,3.716698874,68,BOL
17.6791,43.9159,22,Bosnia and Herzegovina,2021/10/21 12:21:18+00,43.9159,17.6791,246555,11253,0,0,7515.053424,,,4.564093204,70,BIH
24.6849,-22.3285,23,Botswana,2021/10/21 12:21:18+00,-22.3285,24.6849,184051,2389,0,0,7826.545474,,,1.298009791,72,BWA
-51.9253,-14.235,24,Brazil,2021/10/21 12:21:18+00,-14.235,-51.9253,21680488,604228,0,0,10199.73103,,,2.786966788,76,BRA
114.7277,4.5353,25,Brunei,2021/10/21 12:21:18+00,4.5353,114.7277,11386,78,0,0,2602.615416,,,0.685051818,96,BRN
25.4858,42.7339,26,Bulgaria,2021/10/21 12:21:18+00,42.7339,25.4858,555077,22719,0,0,7988.506781,,,4.092945663,100,BGR
-1.5616,12.2383,27,Burkina Faso,2021/10/21 12:21:18+00,12.2383,-1.5616,14793,214,0,0,70.76880478,,,1.446630163,854,BFA
95.956,21.9162,28,Burma,2021/10/21 12:21:18+00,21.9162,95.956,490901,18444,0,0,902.2291097,,,3.757173035,104,MMR
29.9189,-3.3731,29,Burundi,2021/10/21 12:21:18+00,-3.3731,29.9189,19819,38,0,0,166.6753429,,,0.191735204,108,BDI
-23.0418,16.5388,30,Cabo Verde,2021/10/21 12:21:18+00,16.5388,-23.0418,38082,347,0,0,6849.428405,,,0.911191639,132,CPV
104.9167,11.55,31,Cambodia,2021/10/21 12:21:18+00,11.55,104.9167,117352,2704,0,0,701.9092264,,,2.304178881,116,KHM
11.5021,3.848,32,Cameroon,2021/10/21 12:21:18+00,3.848,11.5021,100289,1600,0,0,377.7952,,,1.595389325,120,CMR
-95.001,60.001,33,Canada,2021/10/21 12:21:18+00,60.001,-95.001,1698515,28698,0,0,4486.814166,,,1.689593557,124,CAN
20.9394,6.6111,34,Central African Republic,2021/10/21 12:21:18+00,6.6111,20.9394,11478,100,0,0,237.6513635,,,0.871231922,140,CAF
18.7322,15.4542,35,Chad,2021/10/21 12:21:18+00,15.4542,18.7322,5069,174,0,0,30.85987771,,,3.43262971,148,TCD
-71.543,-35.6751,36,Chile,2021/10/21 12:21:18+00,-35.6751,-71.543,1674226,37628,0,0,8758.148648,,,2.247486301,152,CHL
114.3055,30.5928,37,China,2021/10/21 12:21:18+00,30.5928,114.3055,109010,4849,0,0,7.76050665,,,4.44821576,156,CHN
-74.2973,4.5709,38,Colombia,2021/10/21 12:21:18+00,4.5709,-74.2973,4984751,126931,0,0,9796.518216,,,2.546385968,170,COL
43.3333,-11.6455,39,Comoros,2021/10/21 12:21:18+00,-11.6455,43.3333,4194,147,0,0,482.2934814,,,3.505007153,174,COM
15.8277,-0.228,40,Congo (Brazzaville),2021/10/21 12:21:18+00,-0.228,15.8277,15962,231,0,0,289.2666523,,,1.447187069,178,COG
21.7587,-4.0383,41,Congo (Kinshasa),2021/10/21 12:21:18+00,-4.0383,21.7587,57402,1091,0,0,64.09234049,,,1.90063064,180,COD
-83.7534,9.7489,42,Costa Rica,2021/10/21 12:21:18+00,9.7489,-83.7534,554604,6895,0,0,10887.15329,,,1.243229403,188,CRI
-5.5471,7.54,43,Cote d'Ivoire,2021/10/21 12:21:18+00,7.54,-5.5471,61113,689,0,0,231.6792891,,,1.127419698,384,CIV
15.2,45.1,44,Croatia,2021/10/21 12:21:18+00,45.1,15.2,436189,8968,0,0,10625.10413,,,2.055989491,191,HRV
-77.781167,21.521757,45,Cuba,2021/10/21 12:21:18+00,21.521757,-77.781167,940127,8114,0,0,8300.157788,,,0.863074882,192,CUB
33.4299,35.1264,46,Cyprus,2021/10/21 12:21:18+00,35.1264,33.4299,122709,567,0,0,10163.40597,,,0.462068797,196,CYP
15.473,49.8175,47,Czechia,2021/10/21 12:21:18+00,49.8175,15.473,1718808,30587,0,0,16050.15304,,,1.779547221,203,CZE
9.5018,56.2639,48,Denmark,2021/10/21 12:21:18+00,56.2639,9.5018,373336,2696,0,0,6445.492328,,,0.722137699,208,DNK
,,49,Diamond Princess,2021/10/21 12:21:18+00,34.68577,33.20123,712,13,0,0,0,,,1.825842697,9999,GTR
42.5903,11.8251,50,Djibouti,2021/10/21 12:21:18+00,11.8251,42.5903,13423,181,0,0,1358.600489,,,1.348431796,262,DJI
-61.371,15.415,51,Dominica,2021/10/21 12:21:18+00,15.415,-61.371,4412,30,0,0,6128.543846,,,0.679963735,212,DMA
-70.1627,18.7357,52,Dominican Republic,2021/10/21 12:21:18+00,18.7357,-70.1627,373040,4093,0,0,3438.820993,,,1.097201373,214,DOM
-78.1834,-1.8312,53,Ecuador,2021/10/21 12:21:18+00,-1.8312,-78.1834,514087,32937,0,0,2913.819938,,,6.406892219,218,ECU
30.802498,26.820553,54,Egypt,2021/10/21 12:21:18+00,26.820553,30.802498,321084,18105,0,0,313.7595868,,,5.638711365,818,EGY
-88.8965,13.7942,55,El Salvador,2021/10/21 12:21:18+00,13.7942,-88.8965,110188,3532,0,0,1698.806435,,,3.205430718,222,SLV
10.2679,1.6508,56,Equatorial Guinea,2021/10/21 12:21:18+00,1.6508,10.2679,13097,163,0,0,933.5096241,,,1.244559823,226,GNQ
39.7823,15.1794,57,Eritrea,2021/10/21 12:21:18+00,15.1794,39.7823,6780,45,0,0,191.1783324,,,0.663716814,232,ERI
25.0136,58.5953,58,Estonia,2021/10/21 12:21:18+00,58.5953,25.0136,177287,1438,0,0,13364.6278,,,0.811114182,233,EST
31.4659,-26.5225,59,Eswatini,2021/10/21 12:21:18+00,-26.5225,31.4659,46376,1236,0,0,3997.36589,,,2.665171641,748,SWZ
40.4897,9.145,60,Ethiopia,2021/10/21 12:21:18+00,9.145,40.4897,360503,6287,0,0,313.5801709,,,1.7439522,231,ETH
178.065,-17.7134,61,Fiji,2021/10/21 12:21:18+00,-17.7134,178.065,51909,663,0,0,5790.545756,,,1.277235162,242,FJI
25.7482,61.9241,62,Finland,2021/10/21 12:21:18+00,61.9241,25.7482,152707,1135,0,0,2756.086847,,,0.74325342,246,FIN
2.2137,46.2276,63,France,2021/10/21 12:21:18+00,46.2276,2.2137,7202932,118302,0,0,11034.99992,,,1.642414506,250,FRA
11.6094,-0.8037,64,Gabon,2021/10/21 12:21:18+00,-0.8037,11.6094,34281,219,0,0,1540.215157,,,0.63883784,266,GAB
-15.3101,13.4432,65,Gambia,2021/10/21 12:21:18+00,13.4432,-15.3101,9946,339,0,0,411.5590748,,,3.408405389,270,GMB
43.3569,42.3154,66,Georgia,2021/10/21 12:21:18+00,42.3154,43.3569,680182,9617,0,0,17050.69344,,,1.413886283,268,GEO
10.451526,51.165691,67,Germany,2021/10/21 12:21:18+00,51.165691,10.451526,4424804,94886,0,0,5281.207515,,,2.144411368,276,DEU
-1.0232,7.9465,68,Ghana,2021/10/21 12:21:18+00,7.9465,-1.0232,129592,1169,0,0,417.0573468,,,0.902061856,288,GHA
21.8243,39.0742,69,Greece,2021/10/21 12:21:18+00,39.0742,21.8243,704211,15485,0,0,6756.281459,,,2.198914814,300,GRC
